,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2015-01-05,2330,32214177,4459516134,140.5,140.5,137.5,139.5,-1.5,9377
1,2015-01-06,2330,67649997,9104346055,137.5,137.5,133.0,133.5,-6.0,26240
2,2015-01-07,2330,43886007,5887797145,133.5,135.0,133.5,134.0,0.5,14735
3,2015-01-08,2330,42551468,5839710584,136.5,138.0,136.0,138.0,4.0,12327
4,2015-01-09,2330,61920268,8308394250,135.0,135.5,133.0,134.0,-4.0,24470
5,2015-01-12,2330,30402705,4031933265,132.5,133.5,132.0,132.0,-2.0,11823
6,2015-01-13,2330,38093830,5032758490,131.0,133.0,130.5,132.5,0.5,12537
7,2015-01-14,2330,49447397,6480574787,132.5,133.0,130.0,130.0,-2.5,18536
8,2015-01-15,2330,40996781,5409019683,131.5,133.0,131.5,131.5,1.5,10987
9,2015-01-16,2330,129035714,17798427458,140.0,140.0,136.0,137.0,5.5,33344
10,2015-01-19,2330,50175501,6946057848,138.5,139.5,137.5,139.0,2.0,15694
11,2015-01-20,2330,33795629,4668853302,139.0,139.0,137.5,138.0,-1.0,10489
12,2015-01-21,2330,77292890,10851391010,139.5,141.0,139.5,141.0,3.0,22304
13,2015-01-22,2330,45654028,6420329920,141.5,142.0,139.5,140.0,-1.0,12880
14,2015-01-23,2330,82359856,11860880764,142.5,145.0,142.5,145.0,5.0,24817
15,2015-01-26,2330,46941337,6773046328,145.5,145.5,143.5,145.0,0.0,12366
16,2015-01-27,2330,53362680,7766942038,145.5,147.0,144.5,147.0,2.0,13505
17,2015-01-28,2330,48373268,7070390708,146.5,147.0,145.5,146.5,-0.5,13048
18,2015-01-29,2330,36887636,5304459221,144.0,145.0,143.0,143.5,-3.0,10970
19,2015-01-30,2330,44413182,6309920080,145.0,145.5,141.0,141.0,-2.5,12509
20,2015-02-02,2330,30382755,4310814470,140.5,143.0,140.5,142.5,1.5,7265
21,2015-02-03,2330,27234908,3911596752,143.0,144.5,142.0,144.5,2.0,7438
22,2015-02-04,2330,43152252,6270013358,144.5,146.5,144.0,146.0,1.5,10725
23,2015-02-05,2330,25327809,3661740425,145.5,146.0,143.5,145.5,-0.5,8827
24,2015-02-06,2330,28668194,4131250622,145.5,145.5,143.0,143.0,-2.5,10068
25,2015-02-09,2330,26650627,3790983534,143.0,143.5,141.5,142.0,-1.0,7095
26,2015-02-10,2330,33452346,4760519217,142.0,143.0,141.5,142.5,0.5,8287
27,2015-02-11,2330,71429251,10550756946,146.0,149.0,146.0,148.0,5.5,21683
28,2015-02-12,2330,35027816,5193362537,149.5,149.5,147.5,148.5,0.5,10815
29,2015-02-13,2330,38571667,5752407636,148.5,150.0,148.0,148.5,0.0,13408
30,2015-02-24,2330,74443659,11211962367,149.0,152.0,148.5,151.0,2.5,17976
31,2015-02-25,2330,48326782,7425359928,152.5,154.5,152.5,154.5,3.5,13778
32,2015-02-26,2330,58406927,8838206759,153.5,154.0,150.5,150.5,-4.0,16129
33,2015-03-02,2330,41706868,6260834709,151.5,153.0,148.5,149.0,-1.5,14902
34,2015-03-03,2330,29205565,4374634250,150.0,151.0,148.5,150.5,1.5,10700
35,2015-03-04,2330,32781813,4936813407,150.0,151.5,149.0,150.5,0.0,9519
36,2015-03-05,2330,29851795,4474822250,150.0,151.0,148.5,150.0,-0.5,8059
37,2015-03-06,2330,33211114,4948740906,149.0,149.5,148.5,149.0,-1.0,9540
38,2015-03-09,2330,67545510,9855160676,147.5,147.5,145.0,145.5,-3.5,21963
39,2015-03-10,2330,46859211,6762792095,145.0,145.0,144.0,144.0,-1.5,17451
40,2015-03-11,2330,51828263,7572305994,143.5,148.0,143.0,146.0,2.0,14996
41,2015-03-12,2330,32364794,4785611312,147.0,148.5,146.5,148.0,2.0,10987
42,2015-03-13,2330,46407830,6904477410,148.0,149.5,147.0,149.0,1.0,12528
43,2015-03-16,2330,37462553,5514486291,149.0,149.5,146.0,146.0,-3.0,10187
44,2015-03-17,2330,55770359,8326102991,148.5,150.0,148.5,149.0,3.0,16064
45,2015-03-18,2330,71220784,10852430499,151.0,154.0,150.0,153.5,4.5,24516
46,2015-03-19,2330,43512703,6700872109,152.5,155.0,152.5,154.0,0.5,14822
47,2015-03-20,2330,38594575,5909217707,151.5,154.0,151.5,154.0,0.0,8722
48,2015-03-23,2330,26369028,4049600743,154.0,154.0,152.5,153.5,-0.5,8438
49,2015-03-24,2330,38207799,5811312948,153.5,153.5,151.5,151.5,-2.0,9866
50,2015-03-25,2330,50140683,7584239053,152.0,152.5,150.5,151.0,-0.5,8084
51,2015-03-26,2330,162835475,23745941540,145.5,147.0,144.5,145.5,-5.5,40030
52,2015-03-27,2330,112919978,16228885022,144.0,145.5,142.5,142.5,-3.0,31660
53,2015-03-30,2330,64898228,9275490102,142.5,144.0,142.0,142.5,0.0,20026
54,2015-03-31,2330,56918778,8225648688,144.0,145.5,143.0,145.5,3.0,14570
55,2015-04-01,2330,39056191,5643680541,145.0,145.0,143.5,144.0,-1.5,11700
56,2015-04-02,2330,52174388,7651261176,145.0,148.0,144.5,147.0,3.0,15545
57,2015-04-07,2330,34901698,5106814058,146.5,147.5,145.0,146.0,-1.0,9240
58,2015-04-08,2330,49474198,7132875065,145.5,146.0,143.0,143.0,-3.0,14640
59,2015-04-09,2330,47243108,6801837297,144.0,145.5,143.0,143.0,0.0,14341
60,2015-04-10,2330,33908579,4948520786,146.0,147.0,145.0,147.0,4.0,13442
61,2015-04-13,2330,26427202,3876943634,146.5,147.5,146.0,147.0,0.0,10892
62,2015-04-14,2330,41702197,6021009775,145.0,145.5,143.5,144.0,-3.0,15801
63,2015-04-15,2330,71626316,10214833004,143.5,144.5,141.5,143.0,-1.0,24704
64,2015-04-16,2330,55563272,8114893484,145.0,147.0,144.5,147.0,4.0,20084
65,2015-04-17,2330,79007681,11301095708,143.0,144.0,142.5,142.5,-4.5,29078
66,2015-04-20,2330,43593805,6220438078,142.0,144.0,141.5,143.0,0.5,9856
67,2015-04-21,2330,40892605,5824163035,142.0,143.5,141.5,142.5,-0.5,10238
68,2015-04-22,2330,40631875,5844788500,143.5,145.0,143.0,143.5,1.0,12231
69,2015-04-23,2330,47851742,7010815563,145.5,147.0,145.0,147.0,3.5,18425
70,2015-04-24,2330,135458464,20467883674,149.0,152.5,148.5,152.5,5.5,35056
71,2015-04-27,2330,58112934,8802544948,153.0,153.0,150.0,151.5,-1.0,14169
72,2015-04-28,2330,43295538,6563481738,153.5,153.5,150.5,151.5,0.0,12673
73,2015-04-29,2330,37440139,5582483598,150.0,151.0,148.0,148.5,-3.0,11220
74,2015-04-30,2330,48982979,7212381413,147.0,148.5,146.5,147.0,-1.5,13793
75,2015-05-04,2330,30868640,4548281580,148.5,148.5,146.0,147.5,0.5,8598
76,2015-05-05,2330,27789400,4083589300,147.5,148.0,146.0,147.0,-0.5,6502
77,2015-05-06,2330,18824208,2765471076,145.5,148.0,145.5,147.5,0.5,6477
78,2015-05-07,2330,21908150,3209664442,146.0,147.5,146.0,146.5,-1.0,5816
79,2015-05-08,2330,20035646,2938305595,146.0,147.5,146.0,146.5,0.0,7730
80,2015-05-11,2330,20402529,3020441292,149.0,149.0,147.0,148.5,2.0,6385
81,2015-05-12,2330,24956498,3687151073,147.0,148.5,147.0,147.5,-1.0,6593
82,2015-05-13,2330,19437537,2880697082,147.5,149.0,147.0,148.0,0.5,5694
83,2015-05-14,2330,39888654,5860602872,148.0,148.5,146.0,146.0,-2.0,12300
84,2015-05-15,2330,24831890,3627515848,147.0,147.0,145.0,146.5,0.5,8186
85,2015-05-18,2330,26212375,3823751806,147.0,147.0,145.0,146.5,0.0,7178
86,2015-05-19,2330,26321396,3852118475,145.5,147.5,145.0,146.5,0.0,9418
87,2015-05-20,2330,26984912,3949956564,146.5,147.0,146.0,146.5,0.0,10516
88,2015-05-21,2330,41286686,5995895156,146.0,146.5,144.5,145.5,-1.0,12871
89,2015-05-22,2330,22103852,3229666392,146.0,147.0,145.0,145.5,0.0,6813
90,2015-05-25,2330,16323218,2396692046,146.5,147.5,145.5,147.5,2.0,5998
91,2015-05-26,2330,16069726,2368218823,148.5,148.5,146.5,146.5,-1.0,6148
92,2015-05-27,2330,24257941,3536266849,145.5,147.0,145.0,145.0,-1.5,6869
93,2015-05-28,2330,36704395,5388568653,147.0,147.5,146.0,147.0,2.0,10259
94,2015-05-29,2330,61983862,9053910953,147.0,147.5,145.5,146.0,-1.0,8252
95,2015-06-01,2330,31646861,4585709246,145.5,146.0,144.0,145.0,-1.0,9735
96,2015-06-02,2330,33433403,4812699032,144.5,144.5,143.5,144.0,-1.0,10752
97,2015-06-03,2330,30174690,4333388014,143.5,144.5,143.0,143.0,-1.0,7788
98,2015-06-04,2330,62313192,8793986209,142.0,142.5,140.0,141.0,-2.0,17920
99,2015-06-05,2330,42846692,5990378661,139.5,140.5,139.0,140.0,-1.0,13335
100,2015-06-08,2330,45637640,6346411738,139.5,140.0,138.5,138.5,-1.5,17131
101,2015-06-09,2330,31663811,4410907091,138.5,140.0,138.0,139.0,0.5,10951
102,2015-06-10,2330,37243196,5235873213,141.0,141.5,139.5,139.5,0.5,11225
103,2015-06-11,2330,46455780,6630323144,141.0,144.0,141.0,143.5,4.0,15700
104,2015-06-12,2330,35243603,5072826832,144.0,144.5,142.5,144.5,1.0,9645
105,2015-06-15,2330,23775780,3409554790,144.5,144.5,142.5,143.0,-1.5,7385
106,2015-06-16,2330,28696598,4063948476,143.0,143.0,141.0,142.0,-1.0,11387
107,2015-06-17,2330,31675566,4518862957,143.0,143.5,142.0,142.5,0.5,8595
108,2015-06-18,2330,28627136,4072821812,142.0,143.0,142.0,142.0,-0.5,5820
109,2015-06-22,2330,29598804,4224036248,142.0,143.5,142.0,142.0,0.0,8985
110,2015-06-23,2330,37809098,5454961112,143.0,145.0,142.5,144.5,2.5,11319
111,2015-06-24,2330,21134324,3054456980,144.5,145.0,143.5,145.0,0.5,7362
112,2015-06-25,2330,45571067,6670295223,145.0,147.0,145.0,146.5,1.5,11443
113,2015-06-26,2330,34170981,4994996846,147.0,147.5,145.5,146.0,-0.5,10199
114,2015-06-29,2330,53096169,7415992660,140.5,141.0,138.5,138.5,0.0,20523
115,2015-06-30,2330,45375815,6336988915,139.0,140.5,138.5,140.5,2.0,15871
116,2015-07-01,2330,33330373,4704327416,140.0,142.5,139.0,141.0,0.5,9303
117,2015-07-02,2330,24309420,3434751403,140.5,142.0,140.5,141.5,0.5,6836
118,2015-07-03,2330,17091230,2414975440,141.5,142.5,140.0,142.5,1.0,6179
119,2015-07-06,2330,20683912,2913509592,141.0,141.5,140.5,140.5,-2.0,7067
120,2015-07-07,2330,26545982,3750582962,141.0,142.0,140.5,140.5,0.0,8780
121,2015-07-08,2330,52066084,7229638176,140.5,141.0,138.0,138.0,-2.5,15496
122,2015-07-09,2330,53784773,7323598974,134.0,138.0,134.0,136.5,-1.5,12715
123,2015-07-13,2330,35404791,4886264549,137.0,139.5,137.0,138.5,2.0,11386
124,2015-07-14,2330,27574220,3833141080,139.5,140.5,138.0,138.5,0.0,7319
125,2015-07-15,2330,23485780,3254659920,139.0,139.5,138.0,138.5,0.0,8278
126,2015-07-16,2330,37250129,5121828673,140.0,140.0,135.5,136.5,-2.0,11167
127,2015-07-17,2330,55848153,7769816420,138.0,140.0,138.0,140.0,3.5,14284
128,2015-07-20,2330,27906576,3902530824,141.5,142.0,138.5,139.0,-1.0,11095
129,2015-07-21,2330,21857010,3068308230,141.0,141.5,139.5,140.5,1.5,5806
130,2015-07-22,2330,27408864,3802971061,139.0,139.5,138.0,139.0,-1.5,9026
131,2015-07-23,2330,38176255,5216033345,137.0,137.5,136.0,136.0,-3.0,11509
132,2015-07-24,2330,39062686,5342465602,138.0,138.0,136.0,137.0,1.0,10517
133,2015-07-27,2330,45080466,6060338122,135.0,135.5,134.0,134.0,-3.0,13816
134,2015-07-28,2330,35777744,4833495065,135.0,136.5,134.0,134.0,0.0,9966
135,2015-07-29,2330,30500205,4119983712,135.0,136.0,134.5,135.5,1.5,7453
136,2015-07-30,2330,37085996,5121289968,136.0,139.0,136.0,138.5,3.0,10767
137,2015-07-31,2330,40479318,5626919922,140.5,140.5,137.5,139.5,1.0,9383
138,2015-08-03,2330,33815561,4581161735,138.5,138.5,134.5,134.5,-5.0,12990
139,2015-08-04,2330,27514927,3727032372,135.0,136.5,134.5,136.5,2.0,8099
140,2015-08-05,2330,28577967,3847991545,135.5,135.5,134.0,134.0,-2.5,9154
141,2015-08-06,2330,39658057,5305805578,136.0,136.0,132.0,134.0,0.0,13110
142,2015-08-07,2330,30591687,4053463871,133.0,133.5,131.5,133.0,-1.0,11911
143,2015-08-10,2330,65582829,8428219770,131.0,131.0,125.5,129.0,-4.0,23713
144,2015-08-11,2330,65988387,8701858164,133.5,133.5,130.5,130.5,1.5,18947
145,2015-08-12,2330,45838052,5897521548,129.5,130.0,127.5,128.5,-2.0,12740
146,2015-08-13,2330,43697151,5611218672,129.0,130.0,127.5,128.0,-0.5,11405
147,2015-08-14,2330,40366795,5093780530,128.0,128.5,125.0,126.0,-2.0,13469
148,2015-08-17,2330,38956377,4826111748,125.5,125.5,123.0,124.0,-2.0,14068
149,2015-08-18,2330,41823656,5252723656,125.0,126.5,125.0,126.0,2.0,11837
150,2015-08-19,2330,47213363,5917827915,127.5,127.5,124.0,125.0,-1.0,11362
151,2015-08-20,2330,38767923,4841207748,124.5,126.0,123.5,126.0,1.0,8015
152,2015-08-21,2330,67341681,8241493111,123.0,124.5,121.0,121.0,-5.0,15912
153,2015-08-24,2330,118882318,13766338730,120.0,121.0,112.5,115.0,-6.0,25681
154,2015-08-25,2330,99479290,12096689497,118.0,124.0,117.5,123.5,8.5,27240
155,2015-08-26,2330,65899783,8066184686,121.0,124.5,119.5,122.5,-1.0,17863
156,2015-08-27,2330,53549076,6648501174,125.0,125.0,122.0,124.0,1.5,14964
157,2015-08-28,2330,41879827,5251054885,127.0,127.0,124.5,125.0,1.0,12018
158,2015-08-31,2330,57088355,7220131440,126.0,129.0,123.5,129.0,4.0,12112
159,2015-09-01,2330,42394536,5307014000,127.5,127.5,124.0,124.0,-5.0,14184
160,2015-09-02,2330,37232124,4657522507,123.0,127.0,123.0,125.5,1.5,12205
161,2015-09-03,2330,24054041,3037526707,127.5,127.5,125.0,127.0,1.5,7059
162,2015-09-04,2330,23047166,2886200250,126.5,127.0,123.5,125.0,-2.0,8111
163,2015-09-07,2330,26152920,3228675340,124.5,126.0,122.0,122.5,-2.5,10743
164,2015-09-08,2330,15112954,1857557798,122.5,123.5,122.0,123.0,0.5,5645
165,2015-09-09,2330,53969621,6910196909,126.5,129.0,126.5,129.0,6.0,19715
166,2015-09-10,2330,34029707,4288394042,127.0,128.0,125.0,125.0,-4.0,10207
167,2015-09-11,2330,24548989,3097236675,125.5,127.5,124.0,127.5,2.5,7250
168,2015-09-14,2330,25582357,3261310994,128.0,129.0,126.0,127.5,0.0,8062
169,2015-09-15,2330,22223400,2806493840,127.5,128.0,125.5,126.0,-1.5,7271
170,2015-09-16,2330,44137380,5691421260,128.0,130.0,127.5,129.5,3.5,14052
171,2015-09-17,2330,52529479,6868009789,130.5,131.5,130.0,131.0,1.5,16702
172,2015-09-18,2330,32590064,4261707884,129.5,131.5,129.0,131.5,0.5,7572
173,2015-09-21,2330,35271713,4552208310,130.0,130.0,128.5,129.5,-2.0,7636
174,2015-09-22,2330,18378270,2374696906,130.0,130.0,128.5,129.0,-0.5,6249
175,2015-09-23,2330,35523040,4465469498,127.0,127.5,124.5,124.5,-4.5,15209
176,2015-09-24,2330,44708932,5671247864,127.0,128.0,125.5,127.0,2.5,12056
177,2015-09-25,2330,24688657,3121881939,127.0,127.5,125.0,127.0,0.0,9166
178,2015-09-30,2330,76377100,9885619568,128.0,131.0,127.0,130.0,3.0,17686
179,2015-10-01,2330,53400609,7046980737,131.0,134.0,129.5,133.5,3.5,15465
180,2015-10-02,2330,25252357,3337391624,132.5,132.5,131.5,132.0,-1.5,7698
181,2015-10-05,2330,30895136,4096025572,133.0,133.5,131.5,132.5,0.5,9279
182,2015-10-06,2330,49925004,6677173341,135.0,135.5,132.5,133.0,0.5,13880
183,2015-10-07,2330,32541468,4380090918,133.5,135.0,133.0,135.0,2.0,9911
184,2015-10-08,2330,32054985,4365954735,137.0,137.0,135.0,136.0,1.0,11299
185,2015-10-12,2330,51617728,7125126614,137.0,139.0,136.5,138.5,2.5,13186
186,2015-10-13,2330,37227089,5105783075,138.5,138.5,136.0,137.5,-1.0,11289
187,2015-10-14,2330,65521186,8795254492,136.5,137.5,136.0,136.5,-1.0,5612
188,2015-10-15,2330,73316434,10255043760,139.0,141.0,139.0,140.0,3.5,18548
189,2015-10-16,2330,37189898,5091352293,137.0,137.5,136.0,137.5,-2.5,16088
190,2015-10-19,2330,26173538,3606826449,138.5,139.0,137.0,138.0,0.5,9085
191,2015-10-20,2330,28795564,3984111090,139.0,139.0,137.5,139.0,1.0,8838
192,2015-10-21,2330,20006939,2770902949,139.5,140.0,137.5,138.5,-0.5,7624
193,2015-10-22,2330,15168792,2089852382,138.0,138.5,137.0,137.5,-1.0,4864
194,2015-10-23,2330,35666256,4984092182,140.0,140.5,139.0,140.0,2.5,13889
195,2015-10-26,2330,24412462,3416504880,140.5,140.5,139.0,140.0,0.0,8837
196,2015-10-27,2330,26557567,3679734913,138.5,140.0,137.5,139.0,-1.0,6719
197,2015-10-28,2330,22557317,3104131564,137.0,139.0,137.0,138.0,-1.0,7911
198,2015-10-29,2330,20463741,2815951517,139.0,139.5,136.5,136.5,-1.5,6452
199,2015-10-30,2330,28293017,3870125863,137.0,137.5,136.0,136.5,0.0,6840
200,2015-11-02,2330,22789011,3118360787,138.5,138.5,135.5,137.5,1.0,7961
201,2015-11-03,2330,36442564,5082111090,138.5,140.0,138.0,139.5,2.0,12148
202,2015-11-04,2330,75685074,10841451697,141.5,144.5,141.0,144.5,5.0,27863
203,2015-11-05,2330,37827858,5414337809,144.0,144.5,142.5,142.5,-2.0,12575
204,2015-11-06,2330,51889334,7276506260,144.0,144.0,139.0,140.0,-2.5,12543
205,2015-11-09,2330,24863486,3518529742,141.0,143.0,140.5,142.0,2.0,8727
206,2015-11-10,2330,23336811,3261350610,141.5,141.5,139.0,139.5,-2.5,9060
207,2015-11-11,2330,29463476,4066008922,140.5,140.5,136.5,137.5,-2.0,10751
208,2015-11-12,2330,16485910,2284668490,138.5,139.0,138.0,138.5,1.0,5091
209,2015-11-13,2330,22956373,3148276101,137.5,139.0,136.0,136.0,-2.5,7418
210,2015-11-16,2330,32132740,4335757140,134.0,135.5,134.0,135.0,-1.0,13597
211,2015-11-17,2330,28224719,3926485043,138.0,140.0,137.5,138.5,3.5,11370
212,2015-11-18,2330,29455424,4057302068,139.5,140.0,136.5,137.0,-1.5,9025
213,2015-11-19,2330,28723691,4004226290,138.5,140.5,138.0,140.5,3.5,9283
